Journal,Year,Authors,Title,Paper Ref,Country
Journal of Neurosurgical Sciences,1995,"Gaetani P.

Tancioni F.

Spanu G.

Rodriguez Baena Y.R.",Anterior cervical discectomy: An analysis on clinical long-term results in 153 cases.,"Journal of Neurosurgical Sciences. 39 (4) (pp 211-218), 1995. Date of Publication: 1995.",Italy
Journal of Spinal Disorders,1995,"Wehling P.

Cleveland S.

Reinecke J.

Schulitz K.P.",Magnetic stimulation as a diagnostic tool in cervical nerve root compression and compression-induced neuropathy.,"Journal of Spinal Disorders. 8 (4) (pp 304-307), 1995. Date of Publication: 1995.",Germany
Journal of Spinal Disorders,1995,"Shinomiya K.

Sato T.

Spengler D.M.

Dawson J.",Isolated muscle atrophy of the distal upper extremity in cervical spinal cord compressive disorders.,"Journal of Spinal Disorders. 8 (4) (pp 311-316), 1995. Date of Publication: 1995.",USA
Journal of the Autonomic Nervous System,1995,"Sakakibara R.

Hattori T.

Tojo M.

Yamanishi T.

Yasuda K.

Hirayama K.",The location of the paths subserving micturition: Studies in patients with cervical myelopathy.,"Journal of the Autonomic Nervous System. 55 (3) (pp 165-168), 1995. Date of Publication: 1995.",Japan
Paraplegia,1995,"Tani T.

Ushida T.

Yamamoto H.",Surgical treatment guided by spinal cord evoked potentials for tetraparesis due to cervical spondylosis.,"Paraplegia. 33 (6) (pp 354-358), 1995. Date of Publication: 1995.",Japan
Spine,1995,Frank E.,HLA-DR expression on arachnoid cells: A role in the fibrotic inflammation surrounding nerve roots in spondylotic cervical myelopathy.,"Spine. 20 (19) (pp 2093-2096), 1995. Date of Publication: 1995.",USA
Spine,1995,"Chistyakov A.V.

Soustiel J.F.

Hafner H.

Feinsod M.",Motor and somatosensory conduction in cervical myelopathy and radiculopathy.,"Spine. 20 (19) (pp 2135-2140), 1995. Date of Publication: 1995.",Israel
Acta Neurochirurgica,1996,"Morimoto T.

Yamada T.

Okumura Y.

Kakizaki T.

Kawaguchi S.

Hiramatsu K.

Sakaki T.",Expanding laminoplasty for cervical myelopathy-spinous process roofing technique.,"Acta Neurochirurgica. 138 (6) (pp 720-725), 1996. Date of Publication: 1996.",Japan
"Acta radiologica (Stockholm, Sweden : 1987)",1996,"Ilkko E.

Lahde S.

Heiskari M.",Thin-section CT in the examination of cervical disc herniation. A prospective study with 1-mm axial and helical images.,"Acta radiologica (Stockholm, Sweden : 1987). 37 (2) (pp 148-152), 1996. Date of Publication: Mar 1996.",Finland
"Acta radiologica (Stockholm, Sweden : 1987)",1996,"Wu W.

Thuomas K.A.

Hedlund R.

Leszniewski W.

Vavruch L.",Fast spin-echo MR assessment of patients with poor outcome following spinal cervical surgery.,"Acta radiologica (Stockholm, Sweden : 1987). 37 (2) (pp 153-161), 1996. Date of Publication: Mar 1996.",sweden
Annals of the Rheumatic Diseases,1996,"Casey A.T.H.

Bland J.M.

Crockard H.A.",Development of a functional scoring system for rheumatoid arthritis patients with cervical myelopathy.,"Annals of the Rheumatic Diseases. 55 (12) (pp 901-906), 1996. Date of Publication: 1996.",uk
Clinical Neurology and Neurosurgery,1996,"Jayakumar P.N.

Kolluri V.R.S.

Vasudev M.K.

Srikanth S.G.",Ossification of the posterior longitudinal ligament of the cervical spine in Asian Indians - A multiracial comparison.,"Clinical Neurology and Neurosurgery. 98 (2) (pp 142-148), 1996. Date of Publication: May 1996.",india
European Journal of Neurology,1996,"Mathis J.

Hess Ch.W.",Motor-evoked potentials from multiple target muscles in multiple sclerosis and cervical myelopathy.,"European Journal of Neurology. 3 (6) (pp 567-573), 1996. Date of Publication: 1996.",switzerland
Journal of Neurology,1996,"Baba H.

Uchida K.

Maezawa Y.

Furusawa N.

Azuchi M.

Imura S.",Lordotic alignment and posterior migration of the spinal cord following en bloc open-door laminoplasty for cervical myelopathy: A magnetic resonance imaging study.,"Journal of Neurology. 243 (9) (pp 626-632), 1996. Date of Publication: 1996.",Japan
Journal of Neurosurgery,1996,"Hamanishi C.

Tanaka S.",Bilateral multilevel laminectomy with or without posterolateral fusion for cervical spondylotic myelopathy: Relationship to type of onset and time until operation.,"Journal of Neurosurgery. 85 (3) (pp 447-451), 1996. Date of Publication: September 1996.",Japan
Journal of Spinal Disorders,1996,"Mochida K.

Shinomiya K.

Andou M.",Urodynamic and electrophysiologic study of the urinary disturbances caused by cervical myelopathy.,"Journal of Spinal Disorders. 9 (2) (pp 141-145), 1996. Date of Publication: 1996.",Japan
Journal of Spinal Disorders,1996,"Matsumoto M.

Fujimura Y.

Toyama Y.",Usefulness and reliability of neurological signs for level diagnosis in cervical myelopathy caused by soft disc herniation.,"Journal of Spinal Disorders. 9 (4) (pp 317-321), 1996. Date of Publication: 1996.",Japan
Neuropathology,1996,"Shiraishi N.

Zhang C.

Goto N.

Zhou M.",Spinal cord findings in cervical spondylotic myelopathy: A morphometric analysis.,"Neuropathology. 16 (2) (pp 117-125), 1996. Date of Publication: 1996.",Japan
Neuropathology,1996,"Zhang C.

Goto N.

Suzuki M.

Zhou M.",Microscopic morphometry of the spinal cord with cervical spondylotic myelopathy.,"Neuropathology. 16 (4) (pp 239-245), 1996. Date of Publication: 1996.",Japan
Neurophysiologie Clinique,1996,"Berthier E.

Turjman F.

Mauguiere F.",Diagnostic utility of somatosensory evoked potentials (SEPs) in presurgical assessment of cervical spondylotic myelopathy.,"Neurophysiologie Clinique. 26 (5) (pp 300-310), 1996. Date of Publication: 1996.",france
Neuroradiology,1996,"Inoue H.

Ohmori K.

Takatsu T.

Teramoto T.

Ishida Y.

Suzuki K.","Morphological analysis of the cervical spinal canal, dural tube and spinal cord in normal individuals using CT myelography.","Neuroradiology. 38 (2) (pp 148-151), 1996. Date of Publication: February 1996.",Japan
Spine,1996,"Kokubun S.

Sakurai M.

Tanaka Y.",Cartilaginous endplate in cervical disc herniation.,"Spine. 21 (2) (pp 190-195), 1996. Date of Publication: 15 Jan 1996.",Japan
Spine,1996,"Chang C.-W.

Lin S.-M.",Measurement of motor conduction in the thoracolumbar cord: A possible predictor of surgical outcome in cervical spondylotic myelopathy.,"Spine. 21 (4) (pp 485-491), 1996. Date of Publication: 15 Feb 1996.",china
Spine,1996,"Ito T.

Oyanagi K.

Takahashi H.

Takahashi H.E.

Ikuta F.",Cervical spondylotic myelopathy: Clinicopathologic study on the progression pattern and thin myelinated fibers of the lesions of seven patients examined during complete autopsy.,"Spine. 21 (7) (pp 827-833), 1996. Date of Publication: 01 Apr 1996.",Japan
Australasian Radiology,1997,"Soo M.Y.S.

Tran-Dinh H.D.

Dorsch N.W.C.

Quach T.

Downey J.

Pohlmann S.",Cervical spine degenerative diseases: An evaluation of clinical and imaging features in surgical decisions.,"Australasian Radiology. 41 (4) (pp 351-356), 1997. Date of Publication: 1997.",Australia
Journal of Neurology,1997,"Baba H.

Maezawa Y.

Uchida K.

Furusawa N.

Wada M.

Imura S.",Plasticity of the spinal cord contributes to neurological improvement after treatment by cervical decompression. A magnetic resonance imaging study.,"Journal of Neurology. 244 (7) (pp 455-460), 1997. Date of Publication: 1997.",Japan
Journal of Neurosurgery,1997,"Coric D.

Branch Jr. C.L.

Jenkins J.D.",Revision of anterior cervical pseudarthrosis with anterior allograft fusion and plating.,"Journal of Neurosurgery. 86 (6) (pp 969-974), 1997. Date of Publication: June 1997.",USA
Journal of Neurosurgery,1997,"Macdonald R.L.

Fehlings M.G.

Tator C.H.

Lozano A.

Fleming J.R.

Gentili F.

Bernstein M.

Wallace M.C.

Tasker R.R.",Multilevel anterior cervical corpectomy and fibular allograft fusion for cervical myelopathy.,"Journal of Neurosurgery. 86 (6) (pp 990-997), 1997. Date of Publication: June 1997.",USA
Journal of Spinal Disorders,1997,"Gokaslan Z.L.

Samudrala S.

Deletis V.

Wildrick D.M.

Cooper P.R.",Intraoperative monitoring of spinal cord function using motor evoked potentials via transcutaneous epidural electrode during anterior cervical spinal surgery.,"Journal of Spinal Disorders. 10 (4) (pp 299-303), 1997. Date of Publication: 1997.",USA
Neurologia Medico-Chirurgica,1997,"Hida K.

Iwasaki Y.

Koyanagi I.

Abe H.",Bone window computed tomography for detection of dural defect associated with cervical ossified posterior longitudinal ligament.,"Neurologia Medico-Chirurgica. 37 (2) (pp 173-176), 1997. Date of Publication: February 1997.",Japan
Neurosurgery,1997,"Isu T.

Minoshima S.

Mabuchi S.",Anterior decompression and fusion using bone grafts obtained from cervical vertebral bodies for ossification of the posterior longitudinal ligament of the cervical spine: Technical note.,"Neurosurgery. 40 (4) (pp 866-870), 1997. Date of Publication: April 1997.",Japan
American Journal of Neuroradiology,1998,"Muhle C.

Metzner J.

Weinert D.

Falliner A.

Brinkmann G.

Mehdorn M.H.

Heller M.

Resnick D.",Classification system based on kinematic MR imaging in cervical spondylitic myelopathy.,"American Journal of Neuroradiology. 19 (9) (pp 1763-1771), 1998. Date of Publication: October 1998.",Germany
Electroencephalography and Clinical Neurophysiology - Evoked Potentials,1998,"Maertens de Noordhout A.

Myressiotis S.

Delvaux V.

Born J.D.

Delwaide P.J.",Motor and somatosensory evoked potentials in cervical spondylotic myelopathy.,"Electroencephalography and Clinical Neurophysiology - Evoked Potentials. 108 (1) (pp 24-31), 1998. Date of Publication: January 1998.",Belgium
European radiology,1998,"Ros L.

Mota J.

Guedea A.

Bidgood D.",Quantitative measurements of the spinal cord and canal by MR imaging and myelography.,"European radiology. 8 (6) (pp 966-970), 1998. Date of Publication: 1998.",Spain
European Spine Journal,1998,,The value of somatosensory and motor evoked potentials in pre-clinical spondylotic cervical cord compression.,"European Spine Journal. 7 (6) (pp 493-500), 1998. Date of Publication: 1998.",Czech Republic
Investigative Radiology,1998,"Muhle C.

Weinert D.

Falliner A.

Wiskirchen J.

Metzner J.

Baumer M.

Brinkmann G.

Heller M.",Dynamic changes of the spinal canal in patients with cervical spondylosis at flexion and extension using magnetic resonance imaging.,"Investigative Radiology. 33 (8) (pp 444-449), 1998. Date of Publication: August 1998.",Germany
Journal of Bone and Joint Surgery - Series B,1998,"Aita I.

Hayashi K.

Wadano Y.

Yabuki T.",Posterior movement and enlargement of the spinal cord after cervical laminoplasty.,"Journal of Bone and Joint Surgery - Series B. 80 (1) (pp 33-37), 1998. Date of Publication: January 1998.",Japan
Journal of Bone and Joint Surgery - Series B,1998,"Dai L.

Ni B.

Yuan W.

Jia L.",Radiculopathy after laminectomy for cervical compression myelopathy.,"Journal of Bone and Joint Surgery - Series B. 80 (5) (pp 846-849), 1998. Date of Publication: September 1998.",China
Visualization of the cervical spinal cord with FDG and high-resolution PET,1998,"Kamoto Y.

Sadato N.

Yonekura Y.

Tsuchida T.

Uematsu H.

Waki A.

Uchida K.

Baba H.

Imura S.

Konishi J.",Visualization of the cervical spinal cord with FDG and high-resolution PET.,Visualization of the cervical spinal cord with FDG and high-resolution PET.,Japan
Journal of Neurosurgery,1998,"Koyanagi I.

Iwasaki Y.

Hida K.

Imamura H.

Abe H.",Magnetic resonance imaging findings in ossification of the posterior longitudinal ligament of the cervical spine.,"Journal of Neurosurgery. 88 (2) (pp 247-254), 1998. Date of Publication: February 1998.",Japan
Journal of Spinal Disorders,1998,"Ueta E.

Tani T.

Taniguchi S.

Ishida K.

Ushida T.

Yamamoto H.",Diagnostic value of cervical somatosensory evoked potentials recorded from the intervertebral discs after median and ulnar nerve stimulation in cervical spondylotic myelopathy.,"Journal of Spinal Disorders. 11 (6) (pp 514-520), 1998. Date of Publication: 1998.",Japan
Journal of Surgical Association Republic of China,1998,"Chang C.-J.

Huang J.-S.

Kao M.-C.",Cervical laminoplasty with miniplates and screws: Technical note.,"Journal of Surgical Association Republic of China. 31 (4) (pp 222-226), 1998. Date of Publication: 1998.",China
Journal of the Neurological Sciences,1998,,Motor evoked potential is useful for monitoring the effect of collar therapy in cervical spondylotic myelopathy.,"Journal of the Neurological Sciences. 154 (2) (pp 222-228), 1998. Date of Publication: 05 Feb 1998.",India
Journal of the Neurological Sciences,1998,"Kaneko K.

Kawai S.

Taguchi T.

Fuchigami Y.

Ito T.

Morita H.",Correlation between spinal cord compression and abnormal patterns of median nerve somatosensory evoked potentials in compressive cervical myelopathy: Comparison of surface and epidurally recorded responses.,"Journal of the Neurological Sciences. 158 (2) (pp 193-202), 1998. Date of Publication: 30 Jun 1998.",Japan
"Journal of Xi'an Medical University, English Edition",1998,"Zhe Y.

Junchang C.

Longzhu Z.

Youfen L.

Kunzheng W.

Guolian Y.

Dazhi Y.

Ping H.",Clinical study of motor evoked potentials by magnetic stimulation in cervical spondylotic myelopathy.,"Journal of Xi'an Medical University, English Edition. 10 (2) (pp 176-180), 1998. Date of Publication: 1998.",China
Muscle and Nerve,1998,"Chan K.M.

Nasathurai S.

Chavin J.M.

Brown W.F.",The usefulness of central motor conduction studies in the localization of cord involvement in cervical spondylytic myelopathy.,"Muscle and Nerve. 21 (9) (pp 1220-1223), 1998. Date of Publication: September 1998.",USA
Neurologia Medico-Chirurgica,1998,"Sasaki T.

Kadoya S.

Iizuka H.",Roentgenological study of the sagittal diameter of the cervical spinal canal in normal adult Japanese.,"Neurologia Medico-Chirurgica. 38 (2) (pp 83-89), 1998. Date of Publication: February 1998.",Japan
Spine,1998,"Yoshida M.

Tamaki T.

Kawakami M.

Hayashi N.

Ando M.",Indication and clinical results of laminoplasty for cervical myelopathy caused by disc herniation with developmental canal stenosis.,"Spine. 23 (22) (pp 2391-2397), 1998. Date of Publication: 15 Nov 1998.",Japan
Spine,1998,"Motegi H.

Yamazaki M.

Goto S.

Mikata A.

Moriya H.",Proliferating cell nuclear antigen in hypertrophied spinal ligaments: Immunohistochemical localization of proliferating cell nuclear antigen in hypertrophied posterior longitudinal ligament of the cervical spine.,"Spine. 23 (3) (pp 305-310), 1998. Date of Publication: 01 Feb 1998.",Japan
Spine,1998,"Kameyama T.

Ando T.

Yanagi T.

Yasui K.

Sobue G.",Cervical spondylotic amyotrophy: Magnetic resonance imaging demonstration of intrinsic cord pathology.,"Spine. 23 (4) (pp 448-452), 1998. Date of Publication: 15 Feb 1998.",Japan
Neuro-Orthopedics,1999,"Tanaka M.

Yonenobu K.

Fujii T.

Dvorak J.",The evaluation of motor evoked potentials (MEPs) by magnetic stimulation in cervical spondylotic myelopathy.,"Neuro-Orthopedics. 25 (1-2) (pp 75-89), 1999. Date of Publication: 1999.",Japan
Archives of Orthopaedic and Trauma Surgery,1999,"Matsumoto Y.

Shiota E.

Kido H.

Kawasaki T.",Stability and alignment of the cervical spine of hemodialyzed patients treated by canal-expansive laminoplasty.,"Archives of Orthopaedic and Trauma Surgery. 119 (7-8) (pp 464-466), 1999. Date of Publication: November 1999.",Japan
British Journal of Neurosurgery,1999,"Gillett G.R.

Erasmus A.M.

Lind C.R.P.",CG-clip expansive open-door laminoplasty: A technical note.,"British Journal of Neurosurgery. 13 (4) (pp 405-408), 1999. Date of Publication: 1999.",New Zealand
Gait and Posture,1999,"Kuhtz-Buschbeck J.P.

Johnk K.

Mader S.

Stolze H.

Mehdorn M.",Analysis of gait in cervical myelopathy.,"Gait and Posture. 9 (3) (pp 184-189), 1999. Date of Publication: July 1999.",Germany
Journal of Bone and Joint Surgery - Series A,1999,"Hilibrand A.S.

Carlson G.D.

Palumbo M.A.

Jones P.K.

Bohlman H.H.",Radiculopathy and myelopathy at segments adjacent to the site of a previous anterior cervical arthrodesis.,"Journal of Bone and Joint Surgery - Series A. 81 (4) (pp 519-528), 1999. Date of Publication: April 1999.",USA
Journal of Intellectual Disability Research,1999,"Bosma G.P.Th.

Van Buchem M.A.

Voormolen J.H.C.

Van Biezen F.C.

Brouwer O.F.",Cervical spondylarthrotic myelopathy with early onset in Down's syndrome: Five cases and a review of the literature.,"Journal of Intellectual Disability Research. 43 (4) (pp 283-288), 1999. Date of Publication: August 1999.",Netherlands
Journal of Neurology Neurosurgery and Psychiatry,1999,"Tani T.

Yamamoto H.

Kimura J.",Cervical spondylotic myelopathy in elderly people: A high incidence of conduction block at C3-4 or C4-5.,"Journal of Neurology Neurosurgery and Psychiatry. 66 (4) (pp 456-464), 1999. Date of Publication: April 1999.",Japan
Journal of Neurology,1999,"Bednarik J.

Kadanka Z.

Vohanka S.",Median nerve mononeuropathy in spondylotic cervical myelopathy: Double crush syndrome?.,"Journal of Neurology. 246 (7) (pp 544-551), 1999. Date of Publication: 1999.",Czech Republic
Journal of Neurosurgery,1999,"Fornari M.

Luccarelli G.

Giombini S.

Chiapparini L.",Artificial lamina-assisted laminoplasty performed in seven cases.,"Journal of Neurosurgery. 91 (1 SUPPL.) (pp 43-49), 1999. Date of Publication: July 1999.",italy
Journal of Neurosurgical Sciences,1999,Puzzilli F.,Intramedullary increased MR signal intensity and its relation to clinical features in cervical myelopathy.,"Journal of Neurosurgical Sciences. 43 (2) (pp 135-139), 1999. Date of Publication: 1999.",Italy
Journal of Orthopaedic Science,1999,"Hirabayashi S.

Koshizuka Y.",New method for measuring area of spinal canal after double-door laminoplasty.,"Journal of Orthopaedic Science. 4 (2) (pp 78-82), 1999. Date of Publication: 1999.",Japan
Muscle and Nerve,1999,"Tavy D.L.J.

Franssen H.

Keunen R.W.M.

Wattendorff A.R.

Hekster R.E.M.

Van Huffelen A.C.",Motor and somatosensory evoked potentials in asymptomatic spondylotic cord compression.,"Muscle and Nerve. 22 (5) (pp 628-634), 1999. Date of Publication: 1999.",Netherlands
Neurosurgery,1999,"George B.

Gauthier N.

Lot G.",Multisegmental cervical spondylotic myelopathy and radiculopathy treated by multilevel oblique corpectomies without fusion.,"Neurosurgery. 44 (1) (pp 81-90), 1999. Date of Publication: January 1999.",Japan
Neurosurgery,1999,"Ishida Y.

Ohmori K.

Suzuki K.

Inoue H.",Analysis of dural configuration for evaluation of posterior decompression in cervical myelopathy.,"Neurosurgery. 44 (1) (pp 91-96), 1999. Date of Publication: January 1999.",Japan
Neurosurgery,1999,"Watabe N.

Tominaga T.

Shimizu H.

Koshu K.

Yoshimoto T.",Quantitative analysis of cerebrospinal fluid flow in patients with cervical spondylosis using cine phase-contrast magnetic resonance imaging.,"Neurosurgery. 44 (4) (pp 779-784), 1999. Date of Publication: April 1999.",Japan
Spinal Cord,1999,"Morio Y.

Nagashima H.

Teshima R.

Nawata K.",Radiological pathogenesis of cervical myelopathy in 60 consecutive patients with cervical ossification of the posterior longitudinal ligament.,"Spinal Cord. 37 (12) (pp 853-857), 1999. Date of Publication: 1999.",Japan
Spine,1999,"Shoda E.

Sumi M.

Kataoka O.

Mukai H.

Kurosaka M.",Developmental and dynamic canal stenosis as radiologic factors affecting surgical results of anterior cervical fusion for myelopathy.,"Spine. 24 (14) (pp 1421-1424), 1999. Date of Publication: 15 Jul 1999.",Japan
Spine,1999,"Baba H.

Uchida K.

Sadato N.

Yonekura Y.

Kamoto Y.

Maezawa Y.

Furusawa N.

Abe A.",Potential usefulness of 18F-2-fluoro-deoxy-D-glucose positron emission tomography in cervical compressive myelopathy.,"Spine. 24 (14) (pp 1449-1454), 1999. Date of Publication: 15 Jul 1999.",Japan
Spine,1999,"Shafaie F.F.

Wippold II F.J.

Gado M.

Pilgram T.K.

Riew K.D.",Comparison of computed tomography myelography and magnetic resonance imaging in the evaluation of cervical spondylotic myelopathy and radiculopathy.,"Spine. 24 (17) (pp 1781-1785), 1999. Date of Publication: 01 Sep 1999.",USA
Surgical Neurology,1999,"Kohno M.

Takahashi H.

Yamakawa K.

Ide K.

Segawa H.",Postoperative prognosis of Brown-Sequard-type myelopathy in patients with cervical lesions.,"Surgical Neurology. 51 (3) (pp 241-246), 1999. Date of Publication: March 1999.",Japan
American Journal of Neuroradiology,2010,"Kim T.H.

Zollinger L.

Shi X.F.

Kim S.E.

Rose J.

Patel A.A.

Jeong E.-K.",Quantification of diffusivities of the human cervical spinal cord using a 2D single-shot interleaved multisection inner volume diffusion-weighted echo-planar imaging technique.,"American Journal of Neuroradiology. 31 (4) (pp 682-687), 2010. Date of Publication: April 2010.",USA
BMC Musculoskeletal Disorders,2010,"Kobayashi H.

Kikuchi S.-I.

Otani K.

Sekiguchi M.

Sekiguchi Y.

Konno S.-I.",Development of a self-administered questionnaire to screen patients for cervical myelopathy.,"BMC Musculoskeletal Disorders. 11  , 2010. Article Number: 268. Date of Publication: 2010.",Japan
Clinica Chimica Acta,2010,"Wang Z.C.

Chen X.S.

Wang D.W.

Shi J.G.

Jia L.S.

Xu G.H.

Huang J.H.

Fan L.",The genetic association of Vitamin D receptor polymorphisms and cervical spondylotic myelopathy in Chinese subjects.,"Clinica Chimica Acta. 411 (11-12) (pp 794-797), 2010. Date of Publication: June 2010.",China
European Spine Journal,2010,"Nagashima H.

Morio Y.

Meshitsuka S.

Yamane K.

Nanjo Y.

Teshima R.",High-resolution nuclear magnetic resonance spectroscopic study of metabolites in the cerebrospinal fluid of patients with cervical myelopathy and lumbar radiculopathy.,"European Spine Journal. 19 (8) (pp 1363-1368), 2010. Date of Publication: August 2010.",Japan
Gait and Posture,2010,"Magagnin V.

Bo I.

Turiel M.

Fornari M.

Caiani E.G.

Porta A.",Effects of robot-driven gait orthosis treadmill training on the autonomic response in rehabilitation-responsive stroke and cervical spondylotic myelopathy patients.,"Gait and Posture. 32 (2) (pp 199-204), 2010. Date of Publication: June 2010.",Italy
Gait and Posture,2010,"McDermott A.

Bolger C.

Keating L.

McEvoy L.

Meldrum D.",Reliability of three-dimensional gait analysis in cervical spondylotic myelopathy.,"Gait and Posture. 32 (4) (pp 552-558), 2010. Date of Publication: October 2010.",Ireland
Journal of Clinical Neuroscience,2010,"Fujiyoshi T.

Yamazaki M.

Okawa A.

Kawabe J.

Hayashi K.

Endo T.

Furuya T.

Koda M.

Takahashi K.",Static versus dynamic factors for the development of myelopathy in patients with cervical ossification of the posterior longitudinal ligament.,"Journal of Clinical Neuroscience. 17 (3) (pp 320-324), 2010. Date of Publication: March 2010.",Japan
Journal of Neurosurgery: Spine,2010,Traynelis V.C.,Total subaxial reconstruction: Clinical article.,"Journal of Neurosurgery: Spine. 13 (4) (pp 424-434), 2010. Date of Publication: October 2010.",USA
Journal of Spinal Disorders and Techniques,2010,"Azuma Y.

Kato Y.

Taguchi T.",Etiology of cervical myelopathy induced by ossification of the posterior longitudinal ligament: Determining the responsible level of OPLL myelopathy by correlating static compression and dynamic factors.,"Journal of Spinal Disorders and Techniques. 23 (3) (pp 166-169), 2010. Date of Publication: May 2010.",Japan
Journal of Spinal Disorders and Techniques,2010,"Yanase M.

Matsuyama Y.

Mori K.

Nakamichi Y.

Yano T.

Naruse T.

Sakai Y.

Imagama S.

Ito Z.

Yukawa Y.

Kamiya M.

Ito K.

Kanemura T.

Sato K.

Iwata H.",Intraoperative spinal cord monitoring of C5 palsy after cervical laminoplasty.,"Journal of Spinal Disorders and Techniques. 23 (3) (pp 170-175), 2010. Date of Publication: May 2010.",Japan
Magnetic Resonance Imaging,2010,"Harada T.

Tsuji Y.

Mikami Y.

Hatta Y.

Sakamoto A.

Ikeda T.

Tamai K.

Hase H.

Kubo T.",The clinical usefulness of preoperative dynamic MRI to select decompression levels for cervical spondylotic myelopathy.,"Magnetic Resonance Imaging. 28 (6) (pp 820-825), 2010. Date of Publication: July 2010.",Japan
Neurologia Medico-Chirurgica,2010,"Nakae R.

Onda H.

Yokobori S.

Araki T.

Fuse A.

Toda S.

Kushimoto S.

Yokota H.

Teramoto A.","Clinical analysis of spinal cord injury with or without cervical ossification of the posterior longitudinal ligament, spondylosis, and canal stenosis in elderly head injury patients.","Neurologia Medico-Chirurgica. 50 (6) (pp 461-465), 2010. Date of Publication: June 25, 2010.",Japan
Compressive myelopathy mimicking transverse myelitis,2010,"Kelley B.J.

Erickson B.J.

Weinshenker B.G.",Compressive myelopathy mimicking transverse myelitis.,Compressive myelopathy mimicking transverse myelitis.,USA
Spine,2010,"Harrop J.S.

Naroji S.

Maltenfort M.

Greg Anderson D.

Albert T.

Ratliff J.K.

Ponnappan R.K.

Rihn J.A.

Smith H.E.

Hilibrand A.

Sharan A.D.

Vaccaro A.",Cervical myelopathy: A clinical and radiographic evaluation and correlation to cervical spondylotic myelopathy.,"Spine. 35 (6) (pp 620-624), 2010. Date of Publication: 15 Mar 2010.",USA
Spine,2010,"Hosono N.

Makino T.

Sakaura H.

Mukai Y.

Fuji T.

Yoshikawa H.",Myelopathy hand: New evidence of the classical sign.,"Spine. 35 (8) (pp E273-E277), 2010. Date of Publication: April 2010.",Japan
Spine,2010,"Hattori S.

Kawai K.

Mabuchi Y.

Shibayama M.",The relationship between magnetic resonance imaging and quantitative electromyography findings in patients with compressive cervical myelopathy.,"Spine. 35 (8) (pp E290-E294), 2010. Date of Publication: April 2010.",Japan
World Neurosurgery,2010,"Yoo D.-S.

Lee S.-B.

Huh P.-W.

Kang S.G.

Cho K.S.",Spinal cord injury in cervical spinal stenosis by minor trauma.,"World Neurosurgery. 73 (1) (pp 50-52), 2010. Date of Publication: January 2010.",South Korea
Spine,2011,"Lee J.H.

Lee S.H.

Seo I.S.",The characteristics of gait disturbance and its relationship with posterior tibial somatosensory evoked potentials in patients with cervical myelopathy.,"Spine. 36 (8) (pp E524-E530), 2011. Date of Publication: 15 Apr 2011.",South Korea
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,2011,"Suchomel P.

Hradil J.",Minimally Invasive Cervical Elastic Laminoplasty - Principles and Surgical Technique.,"Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca. 78 (5) (pp 437-441), 2011. Date of Publication: 2011.",Czech Republic
Anaesthesia,2011,"Kudo T.

Sato Y.

Kowatari K.

Nitobe T.

Hirota K.",Postoperative transient tetraplegia in two patients caused by cervical spondylotic myelopathy.,"Anaesthesia. 66 (3) (pp 213-216), 2011. Date of Publication: March 2011.",Japan
Chinese Medical Journal,2011,"Song H.-X.

Scarpatetti M.

Kreil W.

Shen H.-L.

Bodo K.

Ebner B.

Schrottner H.

Mokry M.",Quantitative analysis of cyclooxygenase 2 in the posterior longitudinal ligament of cervical spondylotic myelopathy.,"Chinese Medical Journal. 124 (16) (pp 2480-2484), 2011. Date of Publication: August 2011.",China
European Journal of Orthopaedic Surgery and Traumatology,2011,"Fan S.

Hu Z.

Zhao F.",Modified placement of cervical drainage tube for anterior cervical spinal surgery.,"European Journal of Orthopaedic Surgery and Traumatology. 21 (6) (pp 445-448), 2011. Date of Publication: August 2011.",china
European Spine Journal,2011,"Leis A.A.

Kofler M.

Stetkarova I.

Stokic D.S.",The cutaneous silent period is preserved in cervical radiculopathy: Significance for the diagnosis of cervical myelopathy.,"European Spine Journal. 20 (2) (pp 236-239), 2011. Date of Publication: February 2011.",Czech Republic
European Spine Journal,2011,"Song T.

Chen W.-J.

Yang B.

Zhao H.-P.

Huang J.-W.

Cai M.-J.

Dong T.-F.

Li T.-S.",Diffusion tensor imaging in the cervical spinal cord.,"European Spine Journal. 20 (3) (pp 422-428), 2011. Date of Publication: March 2011.",China
European Spine Journal,2011,"Denda H.

Kimura S.

Yamazaki A.

Hosaka N.

Takano Y.

Imura K.

Yajiri Y.

Endo N.",Clinical significance of cerebrospinal fluid nitric oxide concentrations in degenerative cervical and lumbar diseases.,"European Spine Journal. 20 (4) (pp 604-611), 2011. Date of Publication: April 2011.",Japan
European Spine Journal,2011,"Chang C.-W.

Chang K.-Y.

Lin S.-M.",Quantification of the Tromner signs: A sensitive marker for cervical spondylotic myelopathy.,"European Spine Journal. 20 (6) (pp 923-927), 2011. Date of Publication: June 2011.",China
Hong Kong Journal of Radiology,2011,"Wong J.J.

Leung O.C.

Yuen M.K.",Questionable adequacy of magnetic resonance for the detection of ossification of the posterior longitudinal ligament of the cervical spine.,"Hong Kong Journal of Radiology. 14 (2) (pp 78-83), 2011. Date of Publication: June 2011.",China
